Word,NER
DELHI,I-LOC
Reserve,B-ORG
bank,I-ORG
India,I-ORG
C ,B-PER
Rangarajan,I-PER
Reuters,B-ORG
Rangarajan,B-PER
New,B-LOC
Delhi,I-LOC
India,B-LOC
RBI,B-ORG
BOMBAY,B-LOC
Reserve,B-ORG
Bank,I-ORG
India,I-ORG
Chakravarty,B-PER
Rangarajan,I-PER
Rangarajan,B-PER
New,B-LOC
Delhi,I-LOC
Rangarajan,B-PER
Bombay,B-LOC
Mother,B-PER
Teresa,I-PER
CALCUTTA,B-LOC
Mother,B-PER
Teresa,I-PER
Saint,B-PER
Gutters,I-PER
Nobel,B-MISC
Peace,I-MISC
Prize,I-MISC
Albanian,B-MISC
God,B-PER
Roman,B-MISC
Catholic,I-MISC
Indian,B-MISC
Mother,B-PER
Teresa,I-PER
Mother,B-PER
Teresa,I-PER
Calcutta,B-LOC
Nobel,B-MISC
Peace,I-MISC
Prize,I-MISC
Bharat,B-MISC
Ratna,I-MISC
Jewel,B-MISC
India,I-MISC
Vatican,B-LOC
Missionaries,B-ORG
Charity,I-ORG
Mother,B-PER
Teresa,I-PER
California,B-LOC
Rome,B-LOC
New,B-LOC
Delhi,I-LOC
Mother,B-PER
Teresa,I-PER
Agnes,B-PER
Goinxha,I-PER
Bejaxhiu,I-PER
Albanian,B-MISC
Skopje,B-LOC
Serbia,B-LOC
Loretto,B-MISC
Calcutta,B-LOC
Loretto,B-LOC
Abbey,I-LOC
Dublin,B-LOC
India,B-LOC
Calcutta,B-LOC
Vatican,B-LOC
Dublin,B-LOC
American,B-MISC
Calcutta,B-LOC
Teresa,B-PER
France,B-LOC
Therese,B-PER
Jesus,B-PER
India,B-LOC
Mother,B-PER
Mother,B-PER
Teresa,I-PER
Hindu,B-MISC
Calcutta,B-LOC
Nirmal,B-LOC
Hriday,I-LOC
Tender,B-LOC
Heart,I-LOC
Missionaries,B-ORG
Charity,I-ORG
Roman,B-MISC
Catholic,I-MISC
India,B-LOC
British,B-MISC
Mother,B-PER
Teresa,I-PER
Catholics,B-MISC
RTRS,B-ORG
Bernard,B-PER
Hickey,I-PER
SYDNEY,B-LOC
Rupert,B-PER
Murdoch,I-PER
News,B-ORG
Corp,I-ORG
Ltd,I-ORG
Independence,B-MISC
Day,I-MISC
Independence,B-MISC
Day,I-MISC
News,B-ORG
Corp,I-ORG
Fox,B-ORG
Broadcasting,I-ORG
United,B-LOC
States,I-LOC
News,B-ORG
Corp,I-ORG
News,B-ORG
A ,B-MISC
US ,B-MISC
A ,B-MISC
First,B-ORG
Pacific,I-ORG
Lachlan,B-PER
Drummond,I-PER
News,B-ORG
Corp,I-ORG
U S ,B-LOC
British,B-MISC
News,B-ORG
Corp,I-ORG
Asian,B-ORG
Star,I-ORG
TV,I-ORG
US ,B-MISC
News,B-ORG
Corp,I-ORG
British,B-MISC
The,B-ORG
Sun,I-ORG
The,B-ORG
Times,I-ORG
The,B-ORG
Times,I-ORG
News,B-ORG
Corp,I-ORG
U S ,B-LOC
News,B-ORG
Corp,I-ORG
U S ,B-LOC
TV,B-ORG
Guide,I-ORG
News,B-ORG
British,B-MISC
Harper Collins,B-ORG
U S ,B-LOC
Net,B-MISC
Book,I-MISC
Agreement,I-MISC
British,B-MISC
San,B-LOC
Francisco,I-LOC
Harper Collins,B-ORG
Sydney,B-LOC
News,B-ORG
Corp,I-ORG
A ,B-MISC
GMT,B-MISC
A ,B-MISC
US ,B-MISC
Sydney,B-ORG
Newsroom,I-ORG
RTRS,B-ORG
Australia,B-LOC
RBA,B-ORG
CANBERRA,B-LOC
Australian,B-MISC
Reserve,B-ORG
Bank,I-ORG
Australia,I-ORG
RBA,B-ORG
RBA,B-ORG
Australian,B-MISC
Coalition,B-ORG
A ,B-MISC
A ,B-MISC
Sydney,B-ORG
Newsroom,I-ORG
RBA,B-ORG
BNZ,B-ORG
NZ,B-LOC
WELLINGTON,B-LOC
Bank,B-ORG
New,I-ORG
Zealand,I-ORG
BNZ,B-ORG
Wellington,B-LOC
Power,B-ORG
NZ,I-ORG
ODV,I-ORG
NZ ,B-MISC
WELLINGTON,B-LOC
Power,B-ORG
New,I-ORG
Zealand,I-ORG
Ministry,B-ORG
Commerce,I-ORG
Wellington,B-LOC
Australian,B-MISC
BANGKOK,B-LOC
Thailand,B-LOC
Australian,B-MISC
Bangkok,B-LOC
Daniel,B-PER
Westlake,I-PER
Victoria,B-LOC
Klongprem,B-LOC
Thailand,B-LOC
Vivit,B-PER
Chatuparisut,I-PER
Correction,B-ORG
Department,I-ORG
Reuters,B-ORG
Westlake,B-PER
Westerners,B-MISC
Australians,B-MISC
Thai,B-MISC
Klongprem,B-LOC
Tokyo,B-ORG
Soir,I-ORG
TOKYO,B-LOC
Tokyo,B-ORG
Soir,I-ORG
Co,I-ORG
Ltd,I-ORG
Ka,B-ORG
Wah,I-ORG
Bank,I-ORG
HK ,B-MISC
HONG,B-LOC
KONG,I-LOC
Ka,B-ORG
Wah,I-ORG
Bank,I-ORG
HK ,B-MISC
HSBC,B-ORG
Markets,I-ORG
Hong,B-ORG
Kong,I-ORG
Interbank,I-ORG
Hong,B-ORG
Kong,I-ORG
Central,I-ORG
Moneymarkets,I-ORG
Unit,I-ORG
Hong,B-ORG
Kong,I-ORG
Newsroom,I-ORG
Malaysia,B-LOC
KUALA,B-LOC
LUMPUR,I-LOC
Malaysia,B-LOC
Chua,B-PER
Jui,I-PER
Bernama,B-ORG
Chua,B-PER
INDONESIAN,B-MISC
JAKARTA,B-LOC
Indonesian,B-MISC
Jakarta,B-LOC
Indonesian,B-ORG
Democratic,I-ORG
Party,I-ORG
Megawati,B-PER
Sukarnoputri,I-PER
Jakarta,B-LOC
Dow,B-MISC
Jones,I-MISC
Jakarta,B-LOC
Indonesian,B-MISC
Super,B-ORG
Indah,I-ORG
Makmur,I-ORG
PT,B-ORG
VDH,I-ORG
Teguh,I-ORG
Sakti,I-ORG
Singapore listed,B-MISC
Van,B-ORG
Der,I-ORG
Horst,I-ORG
Bank,B-ORG
Duta,I-ORG
Ciputra,B-ORG
Development,I-ORG
Jakarta,B-LOC
Surabaya,B-LOC
GMT,B-MISC
LONDON,B-LOC
London,B-LOC
German,B-MISC
Japanese,B-MISC
British,B-MISC
NEW,B-LOC
YORK,I-LOC
LONDON,B-LOC
TOKYO,B-LOC
FRANKFURT,B-LOC
PARIS,B-LOC
SYDNEY,B-LOC
HONG,B-LOC
KONG,I-LOC
LONDON,B-LOC
New,B-LOC
York,I-LOC
Dow,B-MISC
Jones,I-MISC
London,B-LOC
FTSE 100,B-MISC
Tokyo,B-LOC
Nikkei,B-MISC
Frankfurt,B-LOC
DAX 3O,B-MISC
Paris,B-LOC
CAC 40,B-MISC
General,I-MISC
Sydney,B-LOC
Australian,B-MISC
All Ordinaries,I-MISC
Hong,B-LOC
Kong,I-LOC
Hang,B-MISC
Seng,I-MISC
Ukraine,B-LOC
Rostislav,B-PER
Khotin,I-PER
KIEV,B-LOC
Ukraine,B-LOC
Kremlin,B-LOC
post Soviet,B-MISC
Ukraine,B-LOC
Soviet,B-MISC
Moscow,B-LOC
Ukraine,B-LOC
Russian,B-MISC
Russia,B-LOC
Russia,B-LOC
Chechnya,B-LOC
Moldova,B-LOC
Soviet,B-MISC
Georgia,B-LOC
Azerbaijan,B-LOC
Tajikistan,B-LOC
Ukraine,B-LOC
Leonid,B-PER
Kuchma,I-PER
post Soviet,B-MISC
Kuchma,B-PER
Ukraina,B-LOC
Palace,I-LOC
Adelbert,B-PER
Knobl,I-PER
International,B-ORG
Monetary,I-ORG
Fund,I-ORG
Ukraine,B-LOC
Russian,B-MISC
Ukraine,B-LOC
Council,B-ORG
Europe,I-ORG
NATO,B-ORG
Partnership,B-MISC
Peace,I-MISC
Ukraine,B-LOC
China,B-LOC
Taiwanese,B-MISC
China,B-LOC
Kiev,B-LOC
Hennady,B-PER
Udovenko,I-PER
Beijing,B-LOC
Ukraine,B-LOC
Russia,B-LOC
Westernising,B-MISC
Europe,B-LOC
European,B-MISC
Ukraine,B-LOC
post Soviet,B-MISC
Russia,B-LOC
Kuchma,B-PER
Ukraine,B-LOC
Russia,B-LOC
Kuchma,B-PER
Kiev,B-LOC
European,B-ORG
Union,I-ORG
Western,B-ORG
European,I-ORG
Union,I-ORG
NATO,B-ORG
U S ,B-LOC
Bill,B-PER
Clinton,I-PER
Ukraine,B-LOC
Ukraine,B-LOC
Europe,B-LOC
Albania,B-LOC
Vatican,B-LOC
TIRANA,B-LOC
Albanian,B-MISC
Vatican,B-LOC
Albanian,B-MISC
Gazeta,B-ORG
Shqiptare,I-ORG
Book,B-MISC
Mass,I-MISC
Gjon,B-PER
Buzuku,I-PER
Rome,B-LOC
Albanian,B-MISC
Albanians,B-MISC
Buzuku,B-MISC
Musa,B-PER
Hamiti,I-PER
Vatican,B-LOC
Tirana,B-LOC
Book,B-MISC
Mass,I-MISC
Gazeta,B-ORG
Shqiptare,I-ORG
Russia,B-LOC
MOSCOW,B-LOC
Russian,B-MISC
Russia,B-LOC
Marina,B-PER
Volkova,I-PER
State,B-ORG
Customs,I-ORG
Committee,I-ORG
Reuters,B-ORG
Volkova,B-PER
Russian,B-MISC
Russian,B-MISC
Russian,B-MISC
Volkova,B-PER
Russian,B-MISC
Boris,B-PER
Yeltsin,I-PER
Volkova,B-PER
Russian,B-MISC
Volkova,B-PER
Volkova,B-PER
Soviet,B-LOC
Union,I-LOC
Yeltsin,B-PER
Russian,B-MISC
Russian,B-MISC
Volkova,B-PER
Russian,B-MISC
Russian,B-MISC
Dmitry,B-PER
Solovyov,I-PER
Moscow,B-ORG
Newsroom,I-ORG
Viacom,B-ORG
Mission,B-MISC
LOS,B-LOC
ANGELES,I-LOC
Paramount,B-ORG
Pictures,I-ORG
Tom,B-PER
Cruise,I-PER
Mission,B-MISC
Impossible,I-MISC
Daily,B-ORG
Variety,I-ORG
Viacom,B-MISC
Inc owned,I-MISC
Paramount,B-ORG
Forrest,B-MISC
Gump,I-MISC
Cruise,B-PER
Academy,B-MISC
Award winning,I-MISC
William,B-PER
Goldman,I-PER
Mission,B-MISC
Impossible,I-MISC
Brian,B-PER
De,I-PER
Palma,I-PER
Goldman,B-PER
Oscars,B-MISC
Butch,B-MISC
Cassidy,I-MISC
Sundance,I-MISC
Kid,I-MISC
All,B-MISC
President,I-MISC
 s,I-MISC
Men,I-MISC
Mission,B-MISC
Impossible,I-MISC
Daily,B-ORG
Variety,I-ORG
CRAWLEY,B-PER
LONDON,B-LOC
England,B-LOC
John,B-PER
Crawley,I-PER
Pakistan,B-LOC
GMT,B-MISC
Crawley,B-PER
England,B-LOC
Oval,B-LOC
GMT,B-MISC
GMT,B-MISC
BELGIAN,B-MISC
GRAND,B-MISC
PRIX,I-MISC
SPA FRANCORCHAMPS,B-LOC
Belgium,B-LOC
Belgian,B-MISC
Grand,B-MISC
Prix,I-MISC
Gerhard,B-PER
Berger,I-PER
Austria,B-LOC
Benetton,B-ORG
David,B-PER
Coulthard,I-PER
Britain,B-LOC
McLaren,B-ORG
Jacques,B-PER
Villeneuve,I-PER
Canada,B-LOC
Williams,B-ORG
Mika,B-PER
Hakkinen,I-PER
Finland,B-LOC
McLaren,B-ORG
Heinz Harald,B-PER
Frentzen,I-PER
Germany,B-LOC
Jean,B-PER
Alesi,I-PER
France,B-LOC
Benetton,B-ORG
Damon,B-PER
Hill,I-PER
Britain,B-LOC
Williams,B-ORG
Michael,B-PER
Schumacher,I-PER
Germany,B-LOC
Martin,B-PER
Brundle,I-PER
Britain,B-LOC
Jordan,B-ORG
Rubens,B-PER
Barrichello,I-PER
Brazil,B-LOC
Jordan,B-ORG
Johnny,B-PER
Herbert,I-PER
Britain,B-LOC
Sauber,B-ORG
Olivier,B-PER
Panis,I-PER
France,B-LOC
Ligier,B-ORG
TOSHIBA,B-MISC
CLASSIC,I-MISC
GMT,B-MISC
CARLSBAD,B-LOC
California,B-LOC
Toshiba,B-MISC
Classic,I-MISC
Conchita,B-PER
Martinez,I-PER
Spain,B-LOC
Nathalie,B-PER
Tauziat,I-PER
France,B-LOC
Gabriela,B-PER
Sabatini,I-PER
Argentina,B-LOC
Asa,B-PER
Carlsson,I-PER
Sweden,B-LOC
Katarina,B-PER
Studenikova,I-PER
Slovakia,B-LOC
Karina,B-PER
Habsudova,I-PER
Slovakia,B-LOC
Habsudova,B-PER
ENGLISH,B-MISC
LONDON,B-LOC
English,B-MISC
Portsmouth,B-ORG
Queens,B-ORG
Park,I-ORG
Rangers,I-ORG
Tranmere,B-ORG
Grimsby,B-ORG
SCOTTISH,B-MISC
GLASGOW,B-LOC
Scottish,B-MISC
East,B-ORG
Stirling,I-ORG
Albion,B-ORG
ENGLISH,B-MISC
COUNTY,I-MISC
CHAMPIONSHIP,I-MISC
LONDON,B-LOC
English,B-MISC
County,I-MISC
Championship,I-MISC
Weston super Mare,B-LOC
Durham,B-ORG
D ,B-PER
Cox,I-PER
S ,B-PER
Campbell,I-PER
G ,B-PER
Rose,I-PER
Somerset,B-ORG
M ,B-PER
Lathwell,I-PER
R ,B-PER
Harden,I-PER
Colchester,B-LOC
Gloucestershire,B-ORG
J ,B-PER
Russell,I-PER
A ,B-PER
Symonds,I-PER
A ,B-PER
Cowan,I-PER
Essex,B-ORG
G ,B-PER
Gooch,I-PER
D ,B-PER
Robinson,I-PER
Cardiff,B-LOC
Kent,B-ORG
D ,B-PER
Fulton,I-PER
M ,B-PER
Walker,I-PER
C ,B-PER
Hooper,I-PER
Glamorgan,B-ORG
Leicester,B-LOC
Leicestershire,B-ORG
P ,B-PER
Simmons,I-PER
P ,B-PER
Nixon,I-PER
Hampshire,B-ORG
Northampton,B-LOC
Sussex,B-ORG
N ,B-PER
Lenham,I-PER
V ,B-PER
Drakes,I-PER
A ,B-PER
Wells,I-PER
A ,B-PER
Penberthy,I-PER
Northamptonshire,B-ORG
K ,B-PER
Curran,I-PER
Trent,B-LOC
Bridge,I-LOC
Nottinghamshire,B-ORG
G ,B-PER
Archer,I-PER
M ,B-PER
Dowman,I-PER
Surrey,B-ORG
Worcester,B-LOC
Warwickshire,B-ORG
A ,B-PER
Giles,I-PER
T ,B-PER
Munton,I-PER
W ,B-PER
Khan,I-PER
R ,B-PER
Illingworth,I-PER
S ,B-PER
Lampitt,I-PER
Worcestershire,B-ORG
Headingley,B-LOC
Yorkshire,B-ORG
C ,B-PER
White,I-PER
R ,B-PER
Blakey,I-PER
M ,B-PER
Moxon,I-PER
M ,B-PER
Vaughan,I-PER
Lancashire,B-ORG
N ,B-PER
Fairbrother,I-PER
POLLOCK,B-PER
WARWICKSHIRE,B-ORG
LONDON,B-LOC
South,B-MISC
African,I-MISC
Shaun,B-PER
Pollock,I-PER
Warwickshire,B-ORG
English,B-MISC
Pollock,B-PER
Pollock,B-PER
ENGLAND,B-LOC
PAKISTAN,B-LOC
LONDON,B-LOC
England,B-LOC
Pakistan,B-LOC
The,B-LOC
Oval,B-LOC
England,B-LOC
M ,B-PER
Atherton,I-PER
Waqar,B-PER
Younis,I-PER
A ,B-PER
Stewart,I-PER
Mushtaq,B-PER
Ahmed,I-PER
N ,B-PER
Hussain,I-PER
Saeed,B-PER
Anwar,I-PER
Waqar,B-PER
Younis,I-PER
G ,B-PER
Thorpe,I-PER
Mohammad,B-PER
Akram,I-PER
J ,B-PER
Crawley,I-PER
Waqar,B-PER
Younis,I-PER
N ,B-PER
Knight,I-PER
Mushtaq,B-PER
Ahmed,I-PER
C ,B-PER
Lewis,I-PER
Wasim,B-PER
Akram,I-PER
I ,B-PER
Salisbury,I-PER
Inzamam ul Haq,B-PER
Wasim,B-PER
Akram,I-PER
D ,B-PER
Cork,I-PER
Moin,B-PER
Khan,I-PER
Waqar,B-PER
Younis,I-PER
R ,B-PER
Croft,I-PER
A ,B-PER
Mullally,I-PER
Wasim,B-PER
Akram,I-PER
Wasim,B-PER
Akram,I-PER
Waqar,B-PER
Younis,I-PER
Mohammad,B-PER
Akram,I-PER
Mushtaq,B-PER
Ahmed,I-PER
Aamir,B-PER
Sohail,I-PER
Pakistan,B-LOC
Saeed,B-PER
Anwar,I-PER
Aamir,B-PER
Sohail,I-PER
Cork,B-PER
Croft,B-PER
Ijaz,B-PER
Ahmed,I-PER
Inzamam ul Haq,B-PER
Salim,B-PER
Malik,I-PER
Asif,B-PER
Mujtaba,I-PER
Wasim,B-PER
Akram,B-PER
Moin,B-PER
Khan,I-PER
Mushtaq,B-PER
Ahmed,I-PER
Waqar,B-PER
Younis,I-PER
Mohammad,B-PER
Akam,I-PER
Lewis,B-PER
Mullally,B-PER
Croft,B-PER
Cork,B-PER
Salisbury,B-PER
ENGLAND,B-LOC
PAKISTAN,B-LOC
LONDON,B-LOC
England,B-LOC
Pakistan,B-LOC
The,B-LOC
Oval,I-LOC
England,B-LOC
J ,B-PER
Crawley,I-PER
G ,B-PER
Thorpe,I-PER
Waqar,B-PER
Younis,I-PER
RAVANELLI,B-PER
LONDON,B-LOC
Middlesbrough,B-ORG
Italian,B-MISC
Fabrizio,B-PER
Ravanelli,I-PER
Middlesbrough,B-ORG
Ravanelli,B-PER
Ravanelli,B-PER
Chelsea,B-ORG
Nottingham,B-LOC
Forest,I-LOC
Bryan,B-PER
Robson,I-PER
AUSTRALIANS,B-MISC
CANADIAN,B-MISC
OPEN,I-MISC
TORONTO,B-LOC
Australia,B-MISC
Day,I-MISC
Canadian,B-MISC
Open,I-MISC
Aussies,B-MISC
Patrick,B-PER
Rafter,I-PER
American,B-MISC
MaliVai,B-PER
Washington,I-PER
Todd,B-PER
Woodbridge,I-PER
Canadian,B-MISC
Daniel,B-PER
Nestor,I-PER
Mark,B-PER
Philippoussis,I-PER
Bohdan,B-PER
Ulihrach,I-PER
Czech,B-LOC
Republic,I-LOC
Wayne,B-PER
Ferreira,I-PER
South,B-LOC
Africa,I-LOC
Tim,B-PER
Henman,I-PER
Britain,B-LOC
Thomas,B-PER
Enqvist,I-PER
Sweden,B-LOC
Petr,B-PER
Korda,I-PER
Czech,B-LOC
Republic,I-LOC
Ferreira,B-PER
Enqvist,B-PER
Americans,B-MISC
Todd,B-PER
Martin,I-PER
Alex,B-PER
O Brien,I-PER
Martin,B-PER
Cedric,B-PER
Pioline,I-PER
France,B-LOC
O Brien,B-PER
Mikael,B-PER
Tillstrom,I-PER
Sweden,B-LOC
Washington,B-PER
Rafter,B-PER
Rafter,B-PER
Rafter,B-PER
Martin,B-PER
Pioline,B-PER
Frenchman,B-MISC
Cedric,B-PER
O Brien,B-PER
ATP,B-MISC
Tour,I-MISC
New,B-LOC
Haven,I-LOC
Los,B-LOC
Angeles,I-LOC
O Brien,B-PER
Enqvist,B-PER
Korda,B-PER
Javier,B-PER
Sanchez,I-PER
Spain,B-LOC
Enqvist,B-PER
Petr,B-PER
CANADIAN,B-MISC
OPEN,I-MISC
TORONTO,B-LOC
Canadian,B-MISC
Open,I-MISC
Wayne,B-PER
Ferreira,I-PER
South,B-LOC
Africa,I-LOC
Tim,B-PER
Henman,I-PER
Britain,B-LOC
Marcelo,B-PER
Rios,I-PER
Chile,B-LOC
Daniel,B-PER
Vacek,I-PER
Czech,B-LOC
Republic,I-LOC
Thomas,B-PER
Enqvist,I-PER
Sweden,B-LOC
Petr,B-PER
Korda,I-PER
Czech,B-LOC
Republic,I-LOC
Patrick,B-PER
Rafter,I-PER
Australia,B-LOC
MaliVai,B-PER
Washington,I-PER
U S ,B-LOC
Todd,B-PER
Martin,I-PER
U S ,B-LOC
Cedric,B-PER
Pioline,I-PER
France,B-LOC
Mark,B-PER
Philippoussis,I-PER
Australia,B-LOC
Bohdan,B-PER
Ulihrach,I-PER
Czech,B-LOC
Republic,B-LOC
Alex,B-PER
O Brien,I-PER
U S ,B-LOC
Mikael,B-PER
Tillstrom,I-PER
Sweden,B-LOC
Todd,B-PER
Woodbridge,I-PER
Australia,B-LOC
Daniel,B-PER
Nestor,I-PER
Canada,B-LOC
RUGBY,B-ORG
UNION,I-ORG
MULDER,B-PER
JOHANNESBURG,B-LOC
Japie,B-PER
Mulder,I-PER
South,B-LOC
Africa,I-LOC
New,B-LOC
Zealand,I-LOC
Pretoria,B-LOC
Mulder,B-PER
Durban,B-LOC
Springbok,B-ORG
Gary,B-PER
Teichmann,I-PER
Andre,B-PER
Markgraaff,I-PER
Mulder,B-PER
Northern,B-ORG
Transvaal,I-ORG
Andre,B-PER
Snyman,I-PER
Danie,B-PER
van,I-PER
Schalkwyk,I-PER
Pieter,B-PER
Hendriks,I-PER
Snyman,B-PER
Markgraaff,B-PER
MALAYSIAN,B-MISC
OPEN,I-MISC
KUALA,B-LOC
LUMPUR,I-LOC
Malaysian,B-MISC
Open,B-MISC
Ong,B-PER
Ewe,I-PER
Hock,I-PER
Malaysia,B-LOC
Hu,B-PER
Zhilan,I-PER
China,B-LOC
Luo,B-PER
Yigang,I-PER
China,B-LOC
Jason,B-PER
Wong,I-PER
Malaysia,B-LOC
Ijaya,B-PER
Indra,I-PER
Indonesia,B-LOC
P ,B-PER
Kantharoopan,I-PER
Malaysia,B-LOC
Chen,B-PER
Gang,I-PER
China,B-LOC
Hermawan,B-PER
Susanto,I-PER
Indonesia,B-LOC
CHANDA,B-PER
RUBIN,I-PER
U S ,B-MISC
OPEN,I-MISC
NEW,B-LOC
YORK,I-LOC
American,B-MISC
Chanda,B-PER
Rubin,I-PER
U S ,B-MISC
Open,I-MISC
Tennis,I-MISC
Championships,I-MISC
Rubin,B-PER
Rubin,B-PER
Olympic,B-MISC
Lindsay,B-PER
Davenport,I-PER
Davenport,B-PER
Karina,B-PER
Habsudova,I-PER
Slovakia,B-LOC
Habsudova,B-PER
Rubin,B-PER
Davenport,B-PER
U S ,B-MISC
Tennis,I-MISC
Association,I-MISC
Rubin,B-PER
Australian,B-MISC
Open,I-MISC
Mary,B-PER
Pierce,I-PER
Wimbledon,B-MISC
Meredith,B-PER
McGrath,I-PER
Australian,B-MISC
Open,I-MISC
Boris,B-PER
Becker,I-PER
Grand,B-MISC
Slam,I-MISC
MAJOR,B-MISC
LEAGUE,I-MISC
NEW,B-LOC
YORK,I-LOC
Major,B-MISC
League,I-MISC
Baseball,I-MISC
AMERICAN,B-MISC
LEAGUE,I-MISC
EASTERN,B-MISC
DIVISION,I-MISC
NEW,B-ORG
YORK,I-ORG
BALTIMORE,B-ORG
BOSTON,B-ORG
TORONTO,B-ORG
DETROIT,B-ORG
CENTRAL,B-MISC
DIVISION,I-MISC
CLEVELAND,B-ORG
CHICAGO,B-ORG
MINNESOTA,B-ORG
MILWAUKEE,B-ORG
KANSAS,B-ORG
CITY,I-ORG
WESTERN,B-MISC
DIVISION,I-MISC
TEXAS,B-ORG
SEATTLE,B-ORG
OAKLAND,B-ORG
CALIFORNIA,B-ORG
SEATTLE,B-ORG
BOSTON,B-LOC
MILWAUKEE,B-ORG
CLEVELAND,B-LOC
CALIFORNIA,B-ORG
BALTIMORE,B-LOC
OAKLAND,B-ORG
NEW,B-LOC
YORK,I-LOC
TORONTO,B-ORG
CHICAGO,B-LOC
DETROIT,B-ORG
KANSAS,B-LOC
CITY,I-LOC
TEXAS,B-ORG
MINNESOTA,B-LOC
NATIONAL,B-MISC
LEAGUE,I-MISC
EASTERN,B-MISC
DIVISION,I-MISC
ATLANTA,B-ORG
MONTREAL,B-ORG
NEW,B-ORG
YORK,I-ORG
FLORIDA,B-ORG
PHILADELPHIA,B-ORG
CENTRAL,B-MISC
DIVISION,I-MISC
HOUSTON,B-ORG
ST,B-ORG
LOUIS,I-ORG
CHICAGO,B-ORG
CINCINNATI,B-ORG
PITTSBURGH,B-ORG
WESTERN,B-MISC
DIVISION,I-MISC
SAN,B-ORG
DIEGO,I-ORG
LOS,B-ORG
ANGELES,I-ORG
COLORADO,B-ORG
SAN,B-ORG
FRANCISCO,I-ORG
CINCINNATI,B-ORG
FLORIDA,B-LOC
CHICAGO,B-ORG
ATLANTA,B-LOC
ST,B-ORG
LOUIS,I-ORG
HOUSTON,B-LOC
PITTSBURGH,B-ORG
COLORADO,B-LOC
NEW,B-ORG
YORK,I-ORG
LOS,B-LOC
ANGELES,I-LOC
PHILADELPHIA,B-ORG
SAN,B-LOC
DIEGO,I-LOC
MONTREAL,B-ORG
SAN,B-LOC
FRANCISCO,I-LOC
MAJOR,B-MISC
LEAGUE,I-MISC
NEW,B-LOC
YORK,I-LOC
Major,B-MISC
League,I-MISC
American,B-MISC
League,I-MISC
BOSTON,B-ORG
Oakland,B-ORG
Seattle,B-ORG
BALTIMORE,B-ORG
California,B-ORG
NEW,B-ORG
YORK,I-ORG
Toronto,B-ORG
CHICAGO,B-ORG
Detroit,B-ORG
KANSAS,B-ORG
CITY,I-ORG
Texas,B-ORG
MINNESOTA,B-ORG
National,B-MISC
League,I-MISC
COLORADO,B-ORG
St,B-ORG
Louis,I-ORG
Cincinnati,B-ORG
ATLANTA,B-ORG
Pittsburgh,B-ORG
HOUSTON,B-ORG
LOS,B-ORG
ANGELES,I-ORG
Philadelphia,B-ORG
Montreal,B-ORG
SAN,B-ORG
FRANCISCO,I-ORG
SORRENTO,B-PER
SEATTLE,B-ORG
ORIOLES,B-ORG
BALTIMORE,B-LOC
Oriole,B-MISC
Jamie,B-PER
Moyer,I-PER
Paul,B-PER
Sorrento,I-PER
Seattle,B-ORG
Mariners,I-ORG
Baltimore,B-ORG
Moyer,B-PER
Mike,B-PER
Devereaux,I-PER
Brady,B-PER
Anderson,I-PER
Norm,B-PER
Charlton,I-PER
Ken,B-PER
Griffey,I-PER
Jr,I-PER
Edgar,B-PER
Martinez,I-PER
Orioles,B-ORG
Rocky,B-PER
Coppinger,I-PER
Jay,B-PER
Buhner,I-PER
Sorrento,B-PER
Bobby,B-PER
Bonilla,I-PER
Sorrento,B-PER
Mariners,B-ORG
American,B-MISC
League,I-MISC
Mariners,B-ORG
White,B-ORG
Sox,I-ORG
Baltimore,B-ORG
Red,B-ORG
Sox,I-ORG
Boston,B-LOC
Moyer,B-PER
Moyer,B-PER
Coppinger,B-PER
Orioles,B-ORG
Davey,B-PER
Johnson,I-PER
Andy,B-PER
Etchebarren,I-PER
Boston,B-LOC
Troy,B-PER
O Leary,I-PER
Red,B-ORG
Sox,I-ORG
Oakland,B-ORG
Athletics,I-ORG
Boston,B-ORG
Boston,B-ORG
Roger,B-PER
Clemens,I-PER
Matt,B-PER
Stairs,I-PER
Lee,B-PER
Tinsley,I-PER
Terry,B-PER
Steinbach,I-PER
Oakland,B-ORG
Clemens,B-PER
Mark,B-PER
Acre,I-PER
New,B-LOC
York,I-LOC
Garret,B-PER
Anderson,I-PER
Gary,B-PER
DiSarcina,I-PER
Jim,B-PER
Edmonds,I-PER
California,B-ORG
Angels,I-ORG
Yankees,B-ORG
Angels,B-ORG
Kenny,B-PER
Rogers,I-PER
Yankees,B-ORG
Chuck,B-PER
Finley,I-PER
Kansas,B-LOC
City,I-LOC
Travis,B-PER
Fryman,I-PER
Melvin,B-PER
Nieves,I-PER
Damion,B-PER
Easley,I-PER
Detroit,B-ORG
Tigers,I-ORG
Royals,B-ORG
Tigers,B-ORG
Justin,B-PER
Thompson,I-PER
Tim,B-PER
Belcher,I-PER
Minnesota,B-LOC
Ken,B-PER
Hill,I-PER
Rusty,B-PER
Greer,I-PER
RBI,B-MISC
Texas,B-ORG
Rangers,I-ORG
Twins,B-ORG
Rangers,B-ORG
Hill,B-PER
Chicago,B-LOC
Erik,B-PER
Hanson,I-PER
Alex,B-PER
Fernandez,I-PER
Jacob,B-PER
Brumfield,I-PER
Otis,B-PER
Nixon,I-PER
Toronto,B-ORG
Blue,I-ORG
Jays,I-ORG
White,B-ORG
Sox,I-ORG
Toronto,B-ORG
White,B-ORG
Sox,I-ORG
Hanson,B-PER
